MARK	MUG
LOH	LOR
THESE	THIS
FIFTEEN	FIFTY
NON	DOOR
AH	<NOISE>
LOH	LOR
UNATTACHED	ATTACHED
IS	IT'S
LUCK	LAH
LOH	LOR
ASK	ASKED
SOME	HER
MINE	MY
OH	HOR
DAY	BIRTHDAY
FIRST	OF
AH	LAH
OR	ON
GO	SCORE
LOH	LOR
GUY	GUYS
SAY	SAID
LOH	LOR
ER	ERM
TEASE	S
VALENTINES	VERY
DAY	LUCKY
GONNA	AND
HAVE	HE
THEY	STAY
SEEN	SEE
A	OR
AH	DON'T
NO	KNOW
HER	FOR
SAYING	SAY
CAUSE	COURSE
COINCIDE	CALLED
WITH	INSIDE
VALENTINES	THE
DAY	THURSDAY
SWEET	SHIT
THERE	THAT
HIS	TO
IS	HE
FAMILY'S	FAMILY
SECURED	GET
IS	GUYS
WILLING	REALLY
READY	ALREADY
IT	IN
GIVES	THIS
AFFIRMATION	INFORMATION
LOH	LOR
IT'S	IS
DETERMINING	DETERMING
WHAT	AH
GIRL	GIRLS
EVE	E
ON	FOUR
IS	IT'S
GRANDMA	GRAMMAR
RESTAURANTS	RESTAURANT
LOH	HOR
RESTAURANTS	REFERENCE
AND	RATE
ORGANISE	AUGUST
BIAN	PIAN
LOH	LOR
RARELY	REALLY
THEN	REALLY
LOH	LOR
OWN	MY
ONE	FOR
IT'S	IT
SUPPOSED	SUPPOSE
ON	YOUR
SIDE	HUSBANDSITE
ON	YOUR
FRIDAY	FAMILY
IS	IT'S
GATHER	TOGETHER
WHAT	AH
YOU	THEN
NEED	JENNY
AN	AND
Y	YEAR
TO	ONE
GATHER	TOGETHER
WHAT	AH
LOH	LOR
IS	THAT'S
A	YOUR
HOO	WAH
GOOD	REGRET
THE	HER
AT	ERM
ER	RE
REPRODUCING	PRODUCED
LOH	LOR
THAT	THEN
AI	EH
LEH	LAH
COUNT	HEARD
LEH	EH
SIBLINGS	OKAY
KIDS	KEYS
OH	HOR
GOT	QUITE
GRANDCHILDREN	CALLED
GOT	GRADUATE
GRANDCHILDREN	GRADUATE
GREAT	GRAND
GRANDCHILDREN	CHILDREN
CURIOUS	CHILDREN
PARENT'S	PARENTS
TSK	HOR
KNOW	DON'T
THE	HAVE
TRADITION	SOLUTION
THIS	A
NAME	DAY
WILL	TO
NAME	SATURDAY
NAME	DAY
MY	THAT
DAD'S	GENERATION
GENARATION	<NOISE>
TECK	TAKE
GIRLS'	GIRLS
NAME	DAY
SWEE	SWEET
MY	BY
NORMALLY	BE
SET	SEC
NORMALLY	BE
SET	STEP
MY	BY
SNG	AUNTIES
HOR	HALL
MINE	MY
NAME	TIME
OF	OH
THOSE	THE
HOR	HALL
MARRY	VERY
RULE	ROOM
LOH	OH
FAMILIES	FAMILY
THAT	<NOISE>
IT	EAT
DOESN'T	THE
SAY	SAVE
NEW	ON
YEAR	TRAVEL
COUSIN'S	COUSINS
I	YOU
DAD'S	THAT
GIVES	GIVE
LIKE	SIDE
THEY	THERE
KIND	TIME
LIKE	WILL
DOLLARS	OR
IN	SOMETHING
ONE	AND
ENVELOP	LOOK
IN	IT
ONE	WANT
AS	AT
IN	LEAST
MINE	MY
DAD'S	THAT
STANDARDIZE	STANDARDISED
LORH	LOR
EVERYONE	WE
IN	ARE
LAH	AH
ER	EM
AUNTIES	UNARIES
AH	LAH
ER	ERM
MARRIED	MARRY
TO	ONLY
AH	LAH
IT'S	IS
PER	THE
STANDARDIZE	STANDARDISE
LIKE	THAT
AH	LAH
AND	HAVE
AUNTIES	THIS
IN	IT
EVERY	AND
I	YOU
IS	A
OF	MEAN
ARE	HOTEL
THEM	THEN
OF	SO
THEM	THIS
ER	A
DRAGON	JAGER
SNAKE	PLASTIC
ANIMALS	ANIVAL
THEM	THAT
ARE	I
SUPER	SPOT
CUTE	YOU
HELLO	COLOUR
KITTY	KITI
JUST	THE
KITTY	HELLOITY
BEAR	BAD
SHAPED	SHIP
CUTE	CHOP
SHAPED	SHIT
PINEAPPLE	PAPPLE
LOH	THEN
WHEN	KEEP
MINE	IN
PAR	MY
MINE	MY
WRITE	RIGHT
AH	OUT
ER	AND
TO	TWO
STELLA	STANDARD
WRITE	WHAT
SAME	SIX
WHAT	MAH
ON	DAY
IT	ONLY
WRITE	EVEN
ON	DAY
IT	ONLY
IS	IT'S
SCAR	ALL
MY	BUT
AUNTIES	AUNTIE
WRITE	THAT
LOH	LOR
LOH	LOR
CUTE	OKAY
AH	WHAT
IS	HE
LIKE	SAY
EWW	YOU
WANNA	TO
H	ESSAY
E	HE
TO	WHO'S
ONES	WANTS
OLD	GO
DISTURBING	SERVING
WHETHER	BURDER
SMALL	FOUR
CELEBRATE	BREAK
MINE	MY
WOULDN'T	WON'T
ER	IT
IT'S	IS
PROBLEMATIC	PROBABLY
AH	LAH
I'M	I
CAUSE	COURSE
IN	MEET
LOH	LOR
CUT	CAT
CAKE	K
DO	OH
SAYS	SAID
NOR	HOR
IS	IT'S
CELEBRATING	FEBRITY
OUR	ARE
TWENTY	TO
FIRST	IRS
COMING	CLUBBING
AGE	A
AH	ER
MEAN	NEED
TWENTIETH	YEARS
IT'S	IS
LA	LAH
THE	TO
LOH	LOR
THAT'S	THIS
NOT	JOB
OH	HOR
OH	FOR
LOR	HOR
CAKE	CARE
CIGARETTES	SERIOUS
ER	OF
PLEASE	THANK
DON'T	YOU
GIVE	THIS
ME	IS
CIGARETTE	GOOD
CIGARETTE	SCHOOL
KILL	OK
YOU	OH
CIGARETTES	SERIOUS
CANNOT	ACTUALLY
STAND	SPEND
MY	ME
TWENTY	TO
CIGARETTES	SECRET
OKAY	OK
OKAY	OK
TWENTY	THE
ER	ADULT
ADULTHOOD	WHO
<NOISE>	KEEP
IF	ME
THEY	EVEN
FIND	I
OUT	GO
THEY	TO
COME	DO
TO	THAT
AM	KNOW
TINY	CHINESE
IT'S	IS
FIRST	PAPER
A	TWELVE
BELATED	RELATED
BELATED	RELATED
BELATED	RELATED
<NOISE>	I
I'M	AM
A	BLUEED
DO	TWO
ON	MORE
WITH	OF
THROWING	THREE
THROW	CONTROL
FRIEND	FRIENDS
INVITE	IMPACT
YEAH	YA
IS	IT'S
CONVOLUTED	COMPLICATED
CONVOLUTED	COMPUTER
PLOT	CLUB
EPISODE	ATTITUDE
HOR	HER
AH	ER
SUMMARY	SOME
SHOW	SOCIAL
MARRIED	VERY
THE	TO
BRAINS	PLACE
HE'S	IS
IRREDIOT	IMEDIATE
HE'S	IT'S
THING	DAY
WITH	HAS
SPEND	SPENT
YEARS	YEAR
RIGHT	SIDE
MARRIAGE	MARIES
LIKE	RIGHT
HOUSEWORK	SLOPE
MARRIAGE	MARAGE
PARENTS	PARIS
MARRIAGE	MARRIED
NOT	LET'S
DOESN'T	NEVER
WIFE	WHY
IMAGINE	TWIN
FRIEND	GIRLFRIEND
OF	WHAT
IT'S	IS
HUSBAND	CUSTOMER
HALF	HOUSE
AFFAIR	AFAIR
AFFAIR	AFAIR
KID	KEEP
KID	KEEP
LOH	LOR
HOR	OH
DIVORCE	DEVOS
OH	HOR
DIVORCE	DEVOS
FAILING	FATING
BIEN	PIAN
LOH	LOR
HAVE	HAS
DIVORCE	DEVOCE
DIVORCE	DEVOS
PAPERS	PAPER
LIKE	LIKES
DIVORCE	DEVOE
TRIED	TRY
DROWN	JOIN
SEA	TO
YOU	SEE
TRIED	TRY
TRIED	TRACK
TO	AND
CUTE	CHEAP
CUTE	CHIO
THEN	THAT
COURSE	WHOLE
FAMILY	ME
ACK	ADD
HER	KNOWLEDGE
BIEN	BOBIAN
SON	SUN
ER	ERM
THE	WE
END	DIDN'T
COURTSHIP	SHE
LAH	AH
CUT	AH
SHE'S	IS
STYLIST	STUDY
CUTE	CHEAP
HIS	HE
DIED	LIKE
DROWN	DRUNK
HERSELF	YOURSELF
THEN	DAY
PLACE	PAY
SIS	SY
REINVENT	INVENT
HOW	WANT
VERY	STUDY
SHE	THAT'S
FALL	FOUR
IN	IS
LOVE	THE
WITH	WHOLE
HER	FOUR
FALL	FOUND
IN	A
WANTS	BE
REVENGE	VERY
HUSBAND	ASSISTANT
MARRIAGE	MARRIED
HUSBAND	EXCESPEN
AND	AT
MARRY	MARRI
THEY	DID
MARRIED	BACK
ENGAGED	ENGAGE
ENGAGED	ENGLISH
HOR	LOR
HOH	HOR
MARRY	MAYBE
MARRY	MAYBE
SON	SOME
MARRY	VERY
LEH	EH
TIME	TIMES
LIKE	BESIDE
CAUSE	QUITE
KIND	QUITE
OF	A
VICIOUS	MORE
<NOISE>	SUPERVISES
DON'T	TO
IT'S	IS
WOMAN	MOMENT
SUICIDE	SIDE
DROWNDED	COUNTED
DROWN	JUMP
TRIED	CHECK
DROWN	JURONG
HIS	EAST
WIFE	FIVE
ALL	FOR
REVENGE	REST
SHE	HE
WRECKED	RED
OKAY	OK
DON'T	TO
HOW	HALL
WAIT	OKAY
EVIDENCE	YEAR
COMMIT	COMMITTEE
SUICIDE	SITE
EVIDENCE	ADVIDAS
HOR	COURSE
HUSBAND	HAPPEN
POORS	POST
IS	SHE'S
SHE'S	IS
ER	A
ACCUSE	KILL
KILLING	KIDLY
KNOW	DO
IS	BEEN
WHAT	THAT'S
SHE	MUCH
ERM	ER
HER	NEVER
AHEAD	HIM
CONVINCE	CONVIST
CHARGES	CHANCES
LOR	LOH
CHARGES	CHANCE
IN	WAIT
INCREASE	INCREASED
OBASAN	LINE
<NOISE>	NO
SAFE	SAVE
OF	FOR
THAT	THE
SAVE	SAID
LIFE	NINE
WRECK	REC
LOH	LOR
ROSTED	WASER
BASTARD	BUSED
HIM	YOU
WRECKING	HER
HAVOC	BUT
AND	SHE
THAT	THE
DON'T	WILL
PAH	AH
THE	THAT
ENDING	DAY
HAH	HER
COLLECTS	COLLECT
LOH	HOR
COLLECT	COLLECTS
BANKRUPT	BACKUP
NOW	NO
ONCE	ONES
TRIED	YOU
TO	CHECK
WAT	WORK
DROWNING	BETRODING
KILLED	KILL
AH	EN
TRIED	TRY
DROWN	JOIN
WANTS	WAS
REVENGE	RELAX
DEAD	DATE
SISTER	SYSTEM
KILL	CHECK
CUTE	QUEUE
GUY'S	GUYS
WHO	WHOLE
THAT	THERE'S
DEAD	THIS
FAKE	FIXED
NOW	DOWN
SAY	IF
LOVE	LEFT
HIM	IT
AND	LIKE
THEN	THAT
GUESS	GIVE
IS	IF
IT'S	IS
CUTE	PUB
CUTE	QUEUE
GONNA	TO
CUTE	QUEUE
BOH	BO
BIEN	PIAN
MARRIAGE	BASH
COMMIT	COMMISSION
OFF	ALL
MARRY	MARRIED
LOH	LOR
ER	EN
ADOPTED	TIME
YOU'LL	YOU
SIB	YOURS
TRANSCEND	TRANSLATE
CRICITIONS	TURNS
LAH	LA
THEN	THAT
THAT'S	IS
<NOISE>	THE
POINT	POLE
THE	TO
MOST	WORLD
PLOT	BLOG
ER	ERM
BOH	BO
BIEN	PIAN
LOH	LOR
CUTE	QUEUE
THE	VERY
MAKE	BIG
LIFE	LIKE
CAUSE	BECAUSE
REALISE	REALIZE
SHE	HE
HER	LAH
CUTE	QUEUE
ME	KNOW
WATCH	WHAT'S
BLOODY	BODY
TWENTY	TWO
MINUTES	WEEKS
IS	IT'S
IS	IT'S
I'M	I
LOVELY	THE
DOVEY	P
SCENE	C
TWENTY	THREE
LOH	LOR
IS	SHOWS
IT'S	IS
CONVOLUTED	COMPUTER
ER	AH
NO	LOW
AH	LAH
CAUSE	QUITE
MAH	AH
EVEN	I
UNDERSTAND	STAY
KOREAN	KOREA
IT'S	IS
IT'S	IS
NOTHING	THING
KOREAN	KOREA
ER	AH
WAVE	WITH
FED	PLAN
MENTION	SURE
OH	HOR
OPPOSITE	OPPOSIT
BUSES	JUST
MINE	REMEMBER
HAVEN'T	TO
KIND	I
OH	CALL
COMPLETELY	COMPLAIN
LOH	LOR
OPPOSITE	OPPSITE
ROAD	ROOM
MAH	AH
SIDES	PREFECT
ABIT	BIT
WAS	LEH
THINKING	SUDDENLY
THAT	THE
SURE	SHOULD
LOOP	LOOK
TEN	THAT
MINUTES	IS
IN	THEN
WAIT	ROOM
BUSES	HOURS
KNOW	ALREADY
I'M	AH
DOWN	TELL
HERE	YOU
NOT	DON'T
ONE	WANT
SEAT	SIT
BUT	THEN
OH	INTERCHONG
LIKE	WHAT
BUS	THAT
AH	THE
DRIVERS	DRIVER
BUT	THEN
THAT	THE
OFF	DROP
BUS	LAST
FED	SET
R	VERY
T	ADVALTY
IT'S	YOU
RIGHT	EH
STAND	STAY
IN	A
FRONT	FORM
RIGHT	ESTA
THAT	THE
ESCALATOR	ESLATOR
THAT	THERE
SAYS	IS
STAND	STILL
ON	NOT
LEFT	THIRTY
HAND	LESSON
THAT	THE
OTHERS	OTHER
RUSHING	BRUSH
THE	HERE
EVERYTIME	TIME
ONE	WANT
LIKE	TO
SIDES	PROCESS
I'M	ALL
LIKE	THAT
NEEDY	REALLY
FRONT	IF
OF	FOR
INTO	SHOW
KNOW	OH
IT	SHIT
IS	IT'S
AT	LIKE
DON'T	OH
NON	THE
GEK	CAKE
WAIT	WEEK
ON	A
THEN	IS
ONCE	WHY
STAYING	THEY
OFF	OF
KNOW	YOU
CORRECT	RIGHT
OH	WALK
FED	SET
TRYING	TRY
ESCALATOR	ESCLATOR
ESCALATOR	SCALATOR
THIS	THE
WILL	WHERE
LIKE	I
ON	OR
WHO	WILL
NEEDY	ME
NEXT	STANDARD
ESCALATOR	ESLATOR
ESCALATOR	ESPLATOR
ON	KILL
LANE	LEH
ER	EM
CHAP	TALK
CHAP	TALK
QUEUE	KILL
<NOISE>	HOR
CHAP	TALK
MINE	A
QUEUE	CUTE
SHE	HE
MINE	MY
I	ACTUALLY
CANNOT	OF
ME	YOU
ESCALATOR	EXLATOR
APOLOGISE	APO
AT	CLEAR
FRONT	STAY
OF	FOR
I	STAY
WAS	FOR
LIKE	A
YOU	IT'S
YOU	IT'S
CUT	STILL
QUEUE	A
ONE	TRUE
OH	LOR
IF	ACTUALLY
LOH	LOR
FAULT	FLAT
SONG	SO
OFF	GETS
RIGHT	EXPITTER
<NOISE>	EH
OFF	THAT
ESCALATOR	EXPLATOR
RIGHT	EH
MAN	THEY
SO	WATCHED
SLOW	ALSO
WALK	ONE
WALK	FOUR
LOH	HOR
ON	IN
LEFT	LEH
MUST	DON'T
WAIT	NEED
ON	OUT
MOVE	PUSH
LEFT	SO
MOVE	FAR
RIGHT	AWAY
THEN	LIBRARY
WAIT	WISH
WAS	<NOISE>
WAY	BRING
FOR	THE
SO	BALL
LONG	ALSO
HOW	WORK
LATE	REPEAT
<NOISE><NOISE>	<NOISE>
LORH	LOH
ARE	THE
RUSHING	RUSSIA
RIGHT	REC
U	CUTES
U	ATTITUDE
THEY	YOU
HOH	HOR
YOU	IF
KNOW	NOT
YOU	IT
OH	HOR
QUEUE	KID
LOH	WHAT
BAD	STANDARD
KNOW	MEAN
IT'S	IS
LOH	OH
STAND	SAME
SIDE	OUTSIDE
BUAY	PRINT
BOON	PUT
LAY	IT
IS	IT'S
BECAUSE	CAUSE
RIGHT	LIKE
POINT	JOHOR
FLOOD	LOT
ALL	OH
THE	NO
WAY	WONDER
TO	WITH
TO	MOVED
THERE'S	IS
FEWER	FEW
TO	MOVED
ESCALATOR	ESCLAITOR
BOTTOM	BOTTLE
EVEN	VERY
EXIT	EXCEED
YOU'RE	ARE
THEY	I
DUMB	THINK
WHAT	<NOISE>
EXIT	EXCEED
OUT	WALK
EXIT	EXAM
<NOISE>	INTERCHASE
BOH	TO
LOH	LOR
LOH	WHAT
OH	HOR
OH	HOR
THEN	THIS
IT'S	IS
HE'S	SHE'S
WHAT	AH
THE	SPORTS
OLD	OH
UP	OUT
HE	SHE
SIT	THAT
LEH	HE
HE'S	IS
OLD	ER
HE	GIRLS
LOOKS	HEROES
OLD	OR
IS	WAS
AH	OH
YA	BUT
WALKING	WORKING
LA	AH
LIBRARIAN	LIBRARY
LA	AH
LA	LAH
BECAUSE	CAUSE
ART	AH
ART	I
NICHE	H
STUDENTS	STUDENT
SUPPOSED	SO
STUDENT	ANIME
LA	LAH
FORCED	FORCE
ERM	ER
COMMITTMENT	COMMITMENT
NICHE	UNI
BANNERS	BUSINESS
LA	LAH
GUEST	GUESS
HONOUR	OWNER
LA	YAH
WARRIOR	WARR
YA	YAH
NICHE	MIX
TO	THEY
I'M	AM
LA	AH
LIKE	A
THAT	EH
H	CHANGE
TWO	TO
WHAT	LAH
RIGHT	LIKE
ERM	ER
WE	YOU
THREE	HISTORY
LEVEL	LIKE
ART	WHAT
YA	YAH
AH	LAH
YA	YAH
AH	LAH
LA	AH
YA	YAH
ART	A
JOINED	JOIN
ART	RIGHT
LA	AH
LA	LAH
UP	START
CAUSE	WHAT
MADE	NEED
HORROR	HALL
HAD	HAVE
ELEV	ELEVEN
AM	I'M
YA	YAH
AND	MEET
LA	AH
YA	YAH
DARK	DUCK
YA	YAH
CORNERS	CORNER
WHA	WHY
ROOFTOP	STOP
AIYA	I
CRAWL	CALL
LA	LAH
LA	AH
YA	YAH
HORROR	HALL
WAS	IS
EDITING	EVERYTHING
EDITING	EVERYTHING
AH	MAH
AH	LAH
DON'T	VERY
EMM	MM
CAMERA	CAMP
LA	LAH
YA	YAH
LOR	LOH
THAT'S	AS
IT	IN
HANDSET	HANDSOME
LAT	JIALAT
I'M	AM
CONFLICT	COMPLETE
VICE	ANDVICE
PRES	PRESS
POSITION	IMPRESION
YA	YAH
PRESIDENT	PRESENT
YA	YEAH
YA	YAH
LA	LAH
IT'S	IS
LOR	LOH
LA	LAH
FILM	FIRM
SHOWCASE	CASE
LA	LAH
FUN	ONE
LA	AH
RESULTS	RESULT
LA	AH
SCHOOL	IS
UNTIL	GO
TWELVE	ANYTHING
LA	LAH
LA	LAH
LA	MY
RESULTS	RESULT
QUITE	DROP
LOT	LAH
LEVEL	D
<NOISE>	SO
YA	YAH
THAT	VERY
FILM	PHONE
LA	AH
YA	YAH
OF	QUITE
TO	WILL
YA	THEN
OUR	I
FAULT	FELT
LA	AH
YA	YAH
YA	YAH
LA	LAH
LA	LAH
ALSO	SO
YA	YAH
LA	LAH
YA	YAH
UH	ER
LOR	AH
LA	AH
INFORMED	INFORM
INFORM	INVOLVE
RECEIVED	RECEIVE
TOO	TO
MESSAGE	SIT
BUT	RIGHT
EH	LIKE
EH	A
BANNER	WEATHER
GROUPED	GROUP
WHAT	AH
LA	AH
LEH	EH
OKAY	OK
LA	LAH
YA	YAH
LOR	ORH
ALSO	ORH
OKAY	OK
LOR	ORH
DOING	DURING
LA	AH
OF	OUR
WHAT	LAH
YA	YAH
YA	YAH
YA	YAH
LOR	LOH
KAY	OKAY
ACTUALLY	NOW
JOINED	JOIN
COMBINED	COMBINE
YA	YEAH
YA	YEAH
YA	YEAH
YA	YEAH
DO	DON'T
UNTIL	UNDER
ALREADY	<NOISE>
LA	AH
OTHER	I
PEOPLE	WOULD
MAY	BE
IT'S	THIS
LA	AH
BLOCK	ORH
REP	BUT
OKAY	OK
LA	LAH
UH	AH
SIEW	ER
MIN	XIUIN
OH	ORH
DON'T	SHE
MEH	EH
MIN	XIU
YA	YEAH
IT'S	IS
US	ASK
IT'S	IS
WHO	RIGHT
ARE	FOR
LA	AH
YA	YAH
YA	YAH
SI	SING
UH	AH
SINGAPOREANS	SINGAPOREAN
YA	YAH
FRESHIES	FRESHIE
YA	YAH
LOR	LOH
LA	AH
UH	ER
TRANSITION	AH
AH	XIU
TRANSITION	CHINESEION
YA	YAH
ONE	WHAT
ADAPT	ADDED
THE	WHAT
ME	AH
THINK	EVERYTHING
IT'S	IS
NO	OH
EIGHT	A
LA	LAH
IN	I
WRITING	THINK
LOSE	THOSE
TOUCH	STARTS
LOR	LOH
WANNA	RIGHT
IT'S	WE
ANSWERED	ANSWER
LA	AH
LOR	ORH
TOOK	TWO
AND	THEN
COOMUNICATION	COMMUNICATION
EXEMPTIONS	ATTENTIONS
EXEMPTIONS	ATTENTION
LEH	A
YA	YAH
YA	YAH
YA	YAH
EXEMPTIONS	ATTENTION
LEH	SAY
LA	LAH
LA	LAH
LOR	LOH
WHAT	LAH
LA	LAH
LA	LAH
IT'S	IS
AMOUNT	ONE
LA	LAH
TOO	TWO
PIA	YEARS
YA	YAH
NINETEEN	THINK
TEACH	T
OUTSIDE	LIKE
LA	LAH
LA	LAH
IT	WHAT
LA	ATTITUDE
I'M	AH
REGRETTING	REGRETING
IT	YOU
NOW	KNOW
IT'S	IS
I'M	AM
TRY	TRYING
YA	YAH
LA	LAH
DROP	JOB
LA	LAH
STOPPED	STOP
STOPPED	STOP
HAVEN'T	HAVE
PASSED	PASS
YA	YAH
FAILED	CLEAR
TIMES	TIME
PROBLEMS	PROBLEM
I	ER
AM	I'M
2	TWO
AT	LIKE
MOVED	MOVE
BATOK	TO
YAH	YEAH
AND	THEN
YAH	YA
APART	PART
AM	ARE
ER	AH
FOR	AH
LODGING	LOSING
CANVASING	CANVASSING
YAH	YA
JOINED	JOIN
LAH	AH
YAH	YA
AN	IN
AM	I'M
JOINING	JOIN
BY	I
JOINING	JOIN
AH	LAH
MAINCOM	COMM
SORT	IT'S
OF	NOT
AH	ER
LAH	LA
AN	O
DOING	DURING
IS	THAT'S
TOLD	TALK
LAH	AH
AH	ER
MONTHS	ONE
YAH	YA
ERM	ER
ER	HUH
HOW	I
TO	WOULD
LAH	AH
DO	DID
YOU	I
CAUSE	BECAUSE
ER	AH
COMBINATION	COMPETITION
ALLOW	HOW
COMBINATION	CONVERSATION
THAT	LIKE
J	MAJOR
STUDIED	STUDY
ERM	AND
MATHS	S
MORE	NO
IS	THERE'S
THAN	LIKE
MATHS	MATCH
HA	I
YAH	YA
LAH	AH
SURVIVE	BUY
WHY	OH
OF	WHAT
REASONS	REASON
AS	THAN
LAH	LA
LAH	AH
LAH	<NOISE>
MIX	MATHS
ER	AH
FRIEND'S	FRIENDS
LAH	AH
TAKE	THEY
OVER	WERE
LAH	AH
HUH	ER
A	THE
YAH	AH
LAH	AH
ACTUALLY	WHY
ASKED	ASK
ERM	ER
QUIT	CLIQUE
APPLIED	A
SQUATTER	SQUATER
THE	A
BED	BIG
LAH	LA
APPLIED	APPLY
SQUATTER	SQUATER
GAVE	GIVE
FOR	FROM
HIMSELF	ITSELF
SQUATTERS	SQUATERS
VACANCIES	BACANCIES
ERM	AH
THERE	THEN
ARE	I
VACANCIES	SEE
HIM	GAVEING
A	THE
ROOM	DEFINITELY
GAVE	GIVE
LOR	WANT
PAY	PLAY
FOR	WAS
THE	A
I	AH
AM	I'M
LOR	MATURE
LEAVE	LIFT
LOR	SQUATER
SEVENTH	SEVEN
LAH	AH
TERM	TIME
AH	LAH
THERE'S	IS
AN	A
LAH	AH
AND	AM
CORES	COURSE
THEIR	YOUR
CALLED	QUITE
I	AIYA
MISSED	MISS
ERM	ER
MM	EN
O	WHY
G	ONLY
YOUR	THE
LOR	OR
FUN	FINE
I	THEY
SPENT	SPEND
S	FINANCE
I	BECAUSE
AM	I'M
ENHANCED	HOUSE
B	D
M	N
TEKONG	⁇
RECRUITS	WILL
VERY	REALLY
LAH	AH
HAVE	YOU
A	ER
ERM	ER
YAH	YA
AH	LAH
POSTED	SUPPOSED
AIR	B
BASE	S
YAH	YEAH
FAR	FUN
CAUSE	OF
AT	AN
LAH	AH
GOOD	GO
LAH	AH
ERM	MM
LAH	AH
ERM	MM
AM	I'M
DUTIES	DUTY
OUR	AH
YAH	YA
DEPENDS	DEPEND
MAY	WHEN
MAY	WHEN
YOU	IT'S
UNI	ALREADY
IS	IT'S
WILL	HE'LL
AND	I'M
HUH	<NOISE>
RIGHT	MEMORIZE
B	P
YAH	YEAH
QUAD	COURT
YAH	IT
IT'S	IS
LAH	AH
LAH	AH
QUEENSTOWN	QUEENSTYLE
YAH	YEAH
ERM	ER
LAH	AH
ER	UH
RESOLUTIONS	RESUME
HIGHER	PARTNER
LAH	AH
YAH	YA
EIGHT	A
LAH	AH
YAH	YA
IS	SHE'S
NEWCASTLE	CLASSLE
LAH	AH
HE'S	IS
HE'S	GOING
GONNA	TO
ER	AH
APPLIED	APPLY
LAH	AH
LAH	AH
OH	AH
YAH	YEAH
STUDYING	STUDY
ARE	IS
LAH	AH
DEFINITELY	STEPHANIE
A	AH
MALES	THINGS
OVER	ALL
THERE	THAT
LAH	AH
THERE	WHEN
ARE	THERE'S
ARE	YA
OH	AH
OKAY	OK
WHAT	LAH
WHAT	LAH
AN	ANYWAY
ARE	⁇
YOU	VERY
YAH	YEAH
J	OF
DIDN'T	DON'T
CAME	CARE
BEEN	THINK
SPENT	SPEND
YAH	YA
CAUSE	BECAUSE
NOW	STEAL
WONDERING	REALLY
PROJECTS	PROJECT
LAH	AH
ARE	LAH
NOW	YAH
YAH	YA
ON	LITTLE
I	ONE
AM	I'M
ERM	ER
IT'S	IS
FALSE	FOUR
IS	IT'S
IN	IT
IT	EH
OR	AH
BATOK	BUTTON
LOR	OH
LAH	AH
BATOK	THE
LAH	AH
LIKE	SLACK
IT'S	IS
HAD	HAVE
BUS	PASS
BATOK	BATTER
BY	MY
ULU	OWN
ULU	REALLY
ER	ERM
LAH	AH
YAH	YA
WILL	WE'LL
WILL	YOU
YAH	YEAH
YAH	YEAH
SIBLING	SIBLINGS
IS	YOU
HE	SEE
CAN	LIKE
ELABORATE	BREAK
LET	LIKE
LIAN	AH
DO	DID
BUDDHISTS	BUDDHIST
AM	AH
LAH	AH
YAH	YA
FACTORY	THREE
JOBS	JOB
LAH	AH
FEMALES	FEMALE
WOULD	WILL
MALES	MEALS
AH	LABOUR
LAH	AH
ARE	UH
IT'S	IS
AT	IT
FACTORIES	COUNTRIES
LAH	AH
LAH	AH
I	THEN
ER	THAT
ADECCO	CALL
THERE'S	THEN
AND	I
ABOUT	OF
IT	EIGHT
I	LIKE
AND	TO
OR	A
NOT	LOT
EXTEND	UNDERSTAND
FACTORY	PASSION
IS	IT'S
LIKE	I
FLAVORINGS	FAVORINGS
PINEAPPLE	PAPEL
POWDERY	PULDERARY
FORM	FORMAT
ONE	RIGHT
IT'S	IS
POWDER	PARDER
GET	GETS
POWDER	POLY
BATHE	PAY
BATHE	PAY
OF	ALL
TIME	EVERYTIME
MY	THE
MOM	MUM
EMBARASSING	EMBARRASSING
LEH	ONE
PEOPLE	JUST
THEY	EH
IMAGINE	IN
YAH	YA
BATHE	BA
BEFORE	IF
BATHE	BATH
LAH	AH
BATHE	BEEF
YOU	IS
CAN'T	COME
GET	GAME
RID	YOU
OF	ARE
YAH	YEAH
NOT	NO
MEANT	MAN
EATEN	INTERN
LAH	AH
LEH	EH
LAH	AH
YAH	YA
THERE	THEY
AH	LAH
YAH	YA
IS	HE'S
SHIFT	CHIEF
DIDN'T	DON'T
IT'S	IS
LAH	LA
CAUSE	BECAUSE
EVEN	VERY
LAH	AH
LOR	AH
YAH	THEN
OVERTIME	TIME
LAH	AH
WHEN	AND
ARE	LA
AWAKE	WAIT
AND	WHEN
ERM	ER
IT'S	IS
A	ER
IT	LA
THERE'S	IS
<NOISE>	AH
FIXED	FIX
LAH	AH
OH	<NOISE>
YAH	YA
LAH	AH
HUH	HAH
<NOISE>	AH
ER	YA
LAH	AH
CANNOT	KNOW
PLAIN	PLAYING
LAH	AH
YAH	YEAH
IT'S	AS
YOU	YA
KNOW	NO
MEAN	<NOISE>
FANS	FENCE
EI	OKAY
SIMPSON	SIPS
NICK	NEED
CARTER	CARDER
YEAH	YA
NICK	NEED
CARTER	CURTER
YEAH	YAH
YEAH	LAH
NICK	MEET
NICK	MEET
YEAH	<NOISE>
NIECE	KNE
NICK	NEED
ER	A
ACTUALLY	IN
INTO	TO
UP	OUT
NICK	COMIC
YEAH	YA
STU	STUPID
WILD	WHILE
EI	EH
